Activated,AssistedTackles,BlockedKickReturnTouchdowns,BlockedKickReturnYards,BlockedKicks,CustomD365FantasyPoints,DefensiveSnapsPlayed,DefensiveTeamSnaps,DefensiveTouchdowns,DraftKingsSalary,ExtraPointsAttempted,ExtraPointsHadBlocked,ExtraPointsMade,FanDuelSalary,FantasyDataSalary,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FantasyPointsPPR,FantasyPointsYahoo,FantasyPosition,FieldGoalPercentage,FieldGoalReturnTouchdowns,FieldGoalReturnYards,FieldGoalsAttempted,FieldGoalsHadBlocked,FieldGoalsLongestMade,FieldGoalsMade,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FumbleReturnTouchdowns,FumbleReturnYards,Fumbles,FumblesForced,FumblesLost,FumblesOutOfBounds,FumblesOwnRecoveries,FumblesRecovered,GameDate,GameKey,HomeOrAway,Humidity,InterceptionReturnTouchdowns,InterceptionReturnYards,Interceptions,IsGameOver,KickReturnFairCatches,KickReturnLong,KickReturnTouchdowns,KickReturnYards,KickReturnYardsPerAttempt,KickReturns,MiscAssistedTackles,MiscFumblesForced,MiscFumblesRecovered,MiscSoloTackles,Name,Number,OffensiveSnapsPlayed,OffensiveTeamSnaps,OffensiveTouchdowns,Opponent,PassesDefended,PassingAttempts,PassingCompletionPercentage,PassingCompletions,PassingInterceptions,PassingLong,PassingRating,PassingSackYards,PassingSacks,PassingTouchdowns,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,Played,PlayerGameID,PlayerID,PlayingSurface,Position,PositionCategory,PuntAverage,PuntInside20,PuntLong,PuntNetAverage,PuntNetYards,PuntReturnFairCatches,PuntReturnLong,PuntReturnTouchdowns,PuntReturnYards,PuntReturnYardsPerAttempt,PuntReturns,PuntTouchbacks,PuntYards,Punts,PuntsHadBlocked,QuarterbackHits,ReceivingLong,ReceivingTargets,ReceivingTouchdowns,ReceivingYards,ReceivingYardsPerReception,ReceivingYardsPerTarget,ReceptionPercentage,Receptions,RushingAttempts,RushingLong,RushingTouchdowns,RushingYards,RushingYardsPerAttempt,SackYards,Sacks,Safeties,SafetiesAllowed,ScoringDetails,Season,SeasonType,ShortName,SoloTackles,SpecialTeamsAssistedTackles,SpecialTeamsFumblesForced,SpecialTeamsFumblesRecovered,SpecialTeamsSnapsPlayed,SpecialTeamsSoloTackles,SpecialTeamsTeamSnaps,SpecialTeamsTouchdowns,Stadium,Started,Tackles,TacklesForLoss,Team,Temperature,Touchdowns,TwoPointConversionPasses,TwoPointConversionReceptions,TwoPointConversionReturns,TwoPointConversionRuns,VictivSalary,Week,WindSpeed,YahooSalary,id
1,0,0,0,0,11,0,80,0,,2,0,2,4800,4800,11,0,11,11,0,K,100,0,0,3,0,38,2,0,1,2,0,0,0,0,0,0,0,0,0,0,2015-11-01T13:00:00,201510802,AWAY,43,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Connor Barth,10,0,70,0,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14866828,10092,Dome,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[object Object],[object Object],[object Object]",2015,1,C.Barth,0,0,0,0,11,0,18,0,Georgia Dome,0,0,0,TB,60,0,0,0,0,0,,8,0,,00252d2f-277d-434b-8cc5-8eb72c477eb0
1,0,0,0,0,4,0,80,0,,4,0,4,4500,4500,4,0,4,4,0,K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-20T13:00:00,201510208,HOME,61,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Travis Coons,4,0,49,0,TEN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14621025,16164,Artificial,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,T.Coons,0,0,0,0,9,0,22,0,FirstEnergy Stadium,0,0,0,CLE,66,0,0,0,0,0,,2,12,,2566c642-1d82-4f7e-8cd6-a3819089a3ce
1,0,0,0,0,7,0,57,0,,1,0,1,4800,4800,7,0,7,7,0,K,66.7,0,0,3,0,39,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2015-10-18T13:00:00,201510628,AWAY,55,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Chandler Catanzaro,7,0,72,0,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14775953,16644,Grass,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[object Object],[object Object]",2015,1,C.Catanzaro,0,0,0,0,8,1,24,0,Heinz Field,0,1,0,ARI,53,0,0,0,0,0,,6,14,,0c044e1a-4ca9-4511-984c-b25f0ade41ad
1,0,0,0,0,5,0,78,0,,2,0,2,4800,4800,5,0,6,5,0,K,100,0,0,1,0,43,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2015-09-20T13:00:00,201510205,AWAY,44,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Randy Bullock,4,0,88,0,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14621201,13961,Grass,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[object Object],2015,1,R.Bullock,0,0,0,0,7,0,24,0,Bank of America Stadium,0,0,0,HOU,91,0,0,0,0,0,,2,6,,030d45b7-85bb-449f-bed4-023d83117760
1,0,0,0,0,7,0,67,0,,4,0,4,4500,4500,7,0,7,7,0,K,100,0,0,1,0,31,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2015-10-11T13:00:00,201510533,AWAY,63,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Jason Myers,2,0,59,0,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14734206,17215,Grass,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[object Object],2015,1,J.Myers,0,0,0,0,11,0,25,0,Raymond James Stadium,0,0,0,JAX,96,0,0,0,0,0,,5,10,,004fcb0e-c1a9-44fe-a999-4e3223c36647
1,0,0,0,0,9,0,50,0,,6,0,6,4700,4700,9,0,9,9,0,K,100,0,0,1,0,22,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2015-09-27T16:05:00,201510301,HOME,53,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Chandler Catanzaro,7,0,76,0,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14650325,16644,Dome,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[object Object],2015,1,C.Catanzaro,0,0,0,0,15,0,21,0,University of Phoenix Stadium,0,0,0,ARI,75,0,0,0,0,0,,3,0,,016c9d6b-b4d0-413f-bc1c-81a6e63a555e
1,0,0,0,0,10,0,69,0,,2,0,1,4500,4500,10,0,10,10,0,K,100,0,0,3,0,34,2,0,2,1,0,0,0,0,0,0,0,0,0,0,2015-11-15T13:00:00,201511028,HOME,29,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Chris Boswell,9,0,66,0,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14960817,16191,Grass,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[object Object],[object Object],[object Object]",2015,1,C.Boswell,0,0,0,0,13,0,16,0,Heinz Field,0,0,0,PIT,56,0,0,0,0,0,,10,11,,06a015bc-ec1d-4b99-8701-1527067ad551
1,0,0,0,0,11,0,78,0,,3,0,3,5000,5000,11,0,11,11,0,K,100,0,0,2,0,53,1,0,0,1,0,1,0,0,0,0,0,0,0,0,2015-11-08T20:30:00,201510909,AWAY,38,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Caleb Sturgis,6,0,73,0,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14923854,14877,Dome,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[object Object],[object Object]",2015,1,C.Sturgis,0,0,0,0,11,0,28,0,AT&T Stadium,0,0,0,PHI,53,0,0,0,0,0,,9,4,,129aaef0-cbed-4eeb-b19f-7cfcaf42c7aa
1,0,0,0,0,16,0,61,0,,2,0,2,4800,4800,16,0,17,16,0,K,100,0,0,4,0,53,3,0,0,2,1,1,0,0,0,0,0,0,0,0,2015-11-08T16:05:00,201510933,AWAY,80,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Josh Brown,3,1,75,0,TB,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14919591,2695,Grass,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[object Object],[object Object],[object Object],[object Object]",2015,1,J.Brown,0,0,0,0,13,1,27,0,Raymond James Stadium,0,1,0,NYG,71,0,0,0,0,0,,9,2,,0132f91a-662e-410e-811c-9e92c34151b8
1,0,0,0,0,6,0,73,0,,3,0,3,4800,4800,6,0,6,6,0,K,100,0,0,1,0,35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2015-09-17T20:25:00,201510216,HOME,61,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Cairo Santos,5,0,64,0,DEN,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14597574,16301,Grass,K,ST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,[object Object],2015,1,C.Santos,0,0,0,0,9,0,26,0,Arrowhead Stadium,0,0,0,KC,90,0,0,0,0,0,,2,13,,278815e0-9939-4961-8283-976cee5475fb
