Activated,AssistedTackles,BlockedKickReturnTouchdowns,BlockedKickReturnYards,BlockedKicks,CustomD365FantasyPoints,DefensiveSnapsPlayed,DefensiveTeamSnaps,DefensiveTouchdowns,DraftKingsSalary,ExtraPointsAttempted,ExtraPointsHadBlocked,ExtraPointsMade,FanDuelSalary,FantasyDataSalary,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FantasyPointsPPR,FantasyPointsYahoo,FantasyPosition,FieldGoalPercentage,FieldGoalReturnTouchdowns,FieldGoalReturnYards,FieldGoalsAttempted,FieldGoalsHadBlocked,FieldGoalsLongestMade,FieldGoalsMade,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FumbleReturnTouchdowns,FumbleReturnYards,Fumbles,FumblesForced,FumblesLost,FumblesOutOfBounds,FumblesOwnRecoveries,FumblesRecovered,GameDate,GameKey,HomeOrAway,Humidity,InterceptionReturnTouchdowns,InterceptionReturnYards,Interceptions,IsGameOver,KickReturnFairCatches,KickReturnLong,KickReturnTouchdowns,KickReturnYards,KickReturnYardsPerAttempt,KickReturns,MiscAssistedTackles,MiscFumblesForced,MiscFumblesRecovered,MiscSoloTackles,Name,Number,OffensiveSnapsPlayed,OffensiveTeamSnaps,OffensiveTouchdowns,Opponent,PassesDefended,PassingAttempts,PassingCompletionPercentage,PassingCompletions,PassingInterceptions,PassingLong,PassingRating,PassingSackYards,PassingSacks,PassingTouchdowns,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,Played,PlayerGameID,PlayerID,PlayingSurface,Position,PositionCategory,PuntAverage,PuntInside20,PuntLong,PuntNetAverage,PuntNetYards,PuntReturnFairCatches,PuntReturnLong,PuntReturnTouchdowns,PuntReturnYards,PuntReturnYardsPerAttempt,PuntReturns,PuntTouchbacks,PuntYards,Punts,PuntsHadBlocked,QuarterbackHits,ReceivingLong,ReceivingTargets,ReceivingTouchdowns,ReceivingYards,ReceivingYardsPerReception,ReceivingYardsPerTarget,ReceptionPercentage,Receptions,RushingAttempts,RushingLong,RushingTouchdowns,RushingYards,RushingYardsPerAttempt,SackYards,Sacks,Safeties,SafetiesAllowed,ScoringDetails,Season,SeasonType,ShortName,SoloTackles,SpecialTeamsAssistedTackles,SpecialTeamsFumblesForced,SpecialTeamsFumblesRecovered,SpecialTeamsSnapsPlayed,SpecialTeamsSoloTackles,SpecialTeamsTeamSnaps,SpecialTeamsTouchdowns,Stadium,Started,Tackles,TacklesForLoss,Team,Temperature,Touchdowns,TwoPointConversionPasses,TwoPointConversionReceptions,TwoPointConversionReturns,TwoPointConversionRuns,VictivSalary,Week,WindSpeed,YahooSalary,id
1,0,0,0,0,3.04,0,63,0,5200,0,0,0,7400,7400,3.04,3.04,3.04,3.04,3.04,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-01T16:05:00,201510825,AWAY,60,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Ryan Fitzpatrick,14,8,73,0,OAK,0,4,80,3,0,25,105,0,0,0,39,7.9,9.9,1,14867137,8283,Grass,QB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,10,10.3,0,0,0,0,,2015,1,R.Fitzpatrick,0,0,0,0,0,0,20,0,O.co Coliseum,1,0,0,NYJ,58,0,0,0,0,0,,8,6,37,084371d4-f04d-459d-a247-c09a6e19226f
1,0,0,0,0,18.8,0,72,0,6900,0,0,0,8100,8100,18.8,19.8,18.8,18.8,18.8,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,2015-10-15T20:25:00,201510622,AWAY,39,0,0,0,true,0,0,0,0,0,0,0,0,1,1,Matt Ryan,2,73,73,0,NO,0,52,68.2,35,0,30,101.99,32,5,2,349,7.9,11.6,1,14766629,732,Dome,QB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,11,3,0,0,0,0,"[object Object],[object Object]",2015,1,M.Ryan,0,0,0,0,0,0,25,0,Mercedes-Benz Superdome,1,0,0,ATL,98,0,0,0,0,0,,6,10,37,0995442d-bb85-47a7-ae56-6edf7b84cf61
1,0,0,0,0,3.16,0,70,0,5000,0,0,0,6200,6200,3.16,3.16,3.16,3.16,3.16,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-08T13:00:00,201510928,HOME,34,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Landry Jones,3,12,85,0,OAK,0,5,66.7,3,0,57,109.72,0,0,0,70,11.8,17.8,1,14919596,14971,Grass,QB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,L.Jones,0,0,0,0,0,0,27,0,Heinz Field,0,0,0,PIT,48,0,0,0,0,0,,9,4,20,02704ef7-04b5-4bba-99ec-33e4dbbe1295
1,0,0,0,0,19.96,0,47,0,7100,0,0,0,8100,8100,19.96,24.96,21.96,19.96,21.96,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2015-09-13T16:05:00,201510129,HOME,47,0,0,0,true,0,0,0,0,0,0,0,0,1,0,Philip Rivers,17,79,79,0,DET,0,42,83.3,35,2,34,102.78,16,2,2,404,9.6,11.5,1,14455209,8244,Grass,QB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,-1,0,0,0,0,0,0,0,"[object Object],[object Object]",2015,1,P.Rivers,0,0,0,0,0,0,23,0,Qualcomm Stadium,1,0,0,SD,84,0,0,0,0,0,,1,0,39,06776fa9-6ea1-46a5-8da6-f3ba7fb7b3fe
1,0,0,0,0,2.2,0,56,0,3000,0,0,0,,,1.2,2.2,1.7,2.2,1.7,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-05T20:30:00,201510430,HOME,45,0,0,0,true,0,0,0,0,0,0,0,0,0,0,BJ Daniels,5,2,65,0,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14715198,15235,Artificial,QB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,12,12,12,100,1,0,0,0,0,0,0,0,0,0,,2015,1,B.Daniels,0,0,0,0,3,0,21,0,CenturyLink Field,0,0,0,SEA,82,0,0,0,0,0,,4,8,10,00fa2996-89aa-48d3-8448-1d9feea871ae
1,0,0,0,0,22.36,0,61,0,7400,0,0,0,8400,8400,22.36,25.36,22.36,22.36,22.36,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-04T20:30:00,201510422,HOME,74,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Drew Brees,9,73,73,0,DAL,0,45,80.5,36,0,80,119.41,24,3,2,399,9.8,12.1,1,14695467,7242,Dome,QB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[object Object],[object Object]",2015,1,D.Brees,0,0,0,0,0,0,25,0,Mercedes-Benz Superdome,1,0,0,NO,74,0,0,0,0,0,,4,13,42,05c8065c-58b3-49dc-b6a5-eccb77c79813
1,0,0,0,0,0,0,62,0,5000,0,0,0,5400,5400,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-13T16:05:00,201510101,AWAY,50,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Luke McCown,7,5,74,0,ARI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14455784,6276,Dome,QB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,L.McCown,0,0,0,0,0,0,27,0,University of Phoenix Stadium,0,0,0,NO,70,0,0,0,0,0,,1,0,20,023988ba-10ff-4522-a2f5-187b2aa384c5
1,0,0,0,0,18.34,0,94,0,6600,0,0,0,8100,8100,18.34,18.34,18.34,18.34,18.34,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-11T16:05:00,201510511,AWAY,80,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Carson Palmer,3,33,46,0,DET,0,16,78.6,12,0,49,154.17,13,2,3,184,13.2,16.8,1,14734449,2428,Dome,QB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,"[object Object],[object Object],[object Object]",2015,1,C.Palmer,0,0,0,0,0,0,21,0,Ford Field,1,0,0,ARI,78,0,0,0,0,0,,5,0,39,19a3b7c1-e97d-4a3c-8dec-43cb42ddad39
1,0,0,0,0,7.86,0,85,0,6900,0,0,0,7500,7500,7.86,10.86,9.86,7.86,9.86,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2015-09-20T16:25:00,201510226,HOME,38,0,0,0,true,0,0,0,0,0,0,0,0,0,1,Sam Bradford,7,62,62,0,DAL,0,38,62.2,23,2,32,65.6,5,1,1,232,6.3,10.1,1,14621580,11527,Grass,QB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,0,9,4.7,0,0,0,0,[object Object],2015,1,S.Bradford,0,0,0,0,0,0,24,0,Lincoln Financial Field,1,0,0,PHI,80,0,0,0,0,0,,2,15,42,0f4ec93a-dad6-41b2-873d-0923a4973557
1,0,0,0,0,-0.1,0,58,0,5000,0,0,0,5000,5000,-0.1,-0.1,-0.1,-0.1,-0.1,QB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-08T13:00:00,201510921,HOME,30,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Jimmy Garoppolo,10,1,80,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14919408,16041,Grass,QB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,,2015,1,J.Garoppolo,0,0,0,0,0,0,17,0,Gillette Stadium,0,0,0,NE,48,0,0,0,0,0,,9,10,20,0b9b39bd-5027-4e6b-a24b-06b5a9fb72c0
