Activated,AssistedTackles,BlockedKickReturnTouchdowns,BlockedKickReturnYards,BlockedKicks,CustomD365FantasyPoints,DefensiveSnapsPlayed,DefensiveTeamSnaps,DefensiveTouchdowns,DraftKingsSalary,ExtraPointsAttempted,ExtraPointsHadBlocked,ExtraPointsMade,FanDuelSalary,FantasyDataSalary,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FantasyPointsPPR,FantasyPointsYahoo,FantasyPosition,FieldGoalPercentage,FieldGoalReturnTouchdowns,FieldGoalReturnYards,FieldGoalsAttempted,FieldGoalsHadBlocked,FieldGoalsLongestMade,FieldGoalsMade,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FumbleReturnTouchdowns,FumbleReturnYards,Fumbles,FumblesForced,FumblesLost,FumblesOutOfBounds,FumblesOwnRecoveries,FumblesRecovered,GameDate,GameKey,HomeOrAway,Humidity,InterceptionReturnTouchdowns,InterceptionReturnYards,Interceptions,IsGameOver,KickReturnFairCatches,KickReturnLong,KickReturnTouchdowns,KickReturnYards,KickReturnYardsPerAttempt,KickReturns,MiscAssistedTackles,MiscFumblesForced,MiscFumblesRecovered,MiscSoloTackles,Name,Number,OffensiveSnapsPlayed,OffensiveTeamSnaps,OffensiveTouchdowns,Opponent,PassesDefended,PassingAttempts,PassingCompletionPercentage,PassingCompletions,PassingInterceptions,PassingLong,PassingRating,PassingSackYards,PassingSacks,PassingTouchdowns,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,Played,PlayerGameID,PlayerID,PlayingSurface,Position,PositionCategory,PuntAverage,PuntInside20,PuntLong,PuntNetAverage,PuntNetYards,PuntReturnFairCatches,PuntReturnLong,PuntReturnTouchdowns,PuntReturnYards,PuntReturnYardsPerAttempt,PuntReturns,PuntTouchbacks,PuntYards,Punts,PuntsHadBlocked,QuarterbackHits,ReceivingLong,ReceivingTargets,ReceivingTouchdowns,ReceivingYards,ReceivingYardsPerReception,ReceivingYardsPerTarget,ReceptionPercentage,Receptions,RushingAttempts,RushingLong,RushingTouchdowns,RushingYards,RushingYardsPerAttempt,SackYards,Sacks,Safeties,SafetiesAllowed,ScoringDetails,Season,SeasonType,ShortName,SoloTackles,SpecialTeamsAssistedTackles,SpecialTeamsFumblesForced,SpecialTeamsFumblesRecovered,SpecialTeamsSnapsPlayed,SpecialTeamsSoloTackles,SpecialTeamsTeamSnaps,SpecialTeamsTouchdowns,Stadium,Started,Tackles,TacklesForLoss,Team,Temperature,Touchdowns,TwoPointConversionPasses,TwoPointConversionReceptions,TwoPointConversionReturns,TwoPointConversionRuns,VictivSalary,Week,WindSpeed,YahooSalary,id
1,0,0,0,0,2,0,52,0,3000,0,0,0,4800,4800,1,2,1.5,2,1.5,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-20T13:00:00,201510235,HOME,58,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Chris Thompson,25,7,72,0,STL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14621483,15102,Grass,RB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,10,10,10,100,1,0,0,0,0,0,0,0,0,0,,2015,1,C.Thompson,0,0,0,0,3,0,24,0,FedEx Field,0,0,0,WAS,74,0,0,0,0,0,,2,9,10,0301ad78-6bb4-4465-a464-1cd6902be401
1,0,0,0,0,13.1,0,61,0,3000,0,0,0,4500,4500,12.1,13.1,12.6,13.1,12.6,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-27T13:00:00,201510334,HOME,82,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Antonio Andrews,35,22,82,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14649761,16163,Grass,RB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,12,12,6,50,1,12,13,1,52,4.4,0,0,0,0,[object Object],2015,1,A.Andrews,0,0,0,0,1,0,24,0,LP Field,0,0,0,TEN,79,1,0,0,0,0,,3,3,10,03d94eae-a505-42db-b951-5579bc879a16
1,0,0,0,0,0.8,0,69,0,3000,0,0,0,4700,4700,0.8,0.8,0.8,0.8,0.8,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-15T13:00:00,201511028,HOME,29,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Jordan Todman,30,5,66,0,CLE,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14961233,13102,Grass,RB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,7,3.7,0,0,0,0,,2015,1,J.Todman,0,0,0,0,3,0,16,0,Heinz Field,0,0,0,PIT,56,0,0,0,0,0,,10,11,10,0175632d-1a02-42b3-9c40-b9cb7d9fabd1
1,0,0,0,0,0,0,66,0,3000,0,0,0,4500,4500,0,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-13T16:25:00,201510125,AWAY,59,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Cedric Peerman,30,0,68,0,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14455716,11737,Grass,RB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,C.Peerman,0,0,0,0,22,2,22,0,O.co Coliseum,0,2,0,CIN,73,0,0,0,0,0,,1,9,10,034f678e-7fc8-4b1a-8e37-aab7b3fc54c9
1,0,0,0,0,2.6,0,69,0,3000,0,0,0,4900,4900,1.6,2.6,2.1,2.6,2.1,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-11T16:25:00,201510525,AWAY,67,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Juwan Thompson,40,2,58,0,OAK,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14734880,16287,Grass,RB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,16,16,16,100,1,0,0,0,0,0,0,0,0,0,,2015,1,J.Thompson,0,0,0,0,9,0,21,0,O.co Coliseum,0,0,0,DEN,82,0,0,0,0,0,,5,11,10,0293e76a-5a95-4015-8ee4-bab856439811
1,0,0,0,0,5.6,0,65,0,3200,0,0,0,5200,5200,5.6,5.6,5.6,5.6,5.6,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-01T09:30:00,201510816,AWAY,78,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Joique Bell,35,17,60,0,KC,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14866444,12323,Dome,RB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,6,32,0,48,6.9,0,0,0,0,,2015,1,J.Bell,0,0,0,0,0,0,28,0,Wembley Stadium,1,0,0,DET,43,0,0,0,0,0,,8,1,13,0218eb70-f7df-4a67-bfa4-de790afa0a4c
1,0,0,0,0,2,0,78,0,3700,0,0,0,5700,5700,1,2,1.5,2,1.5,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-20T13:00:00,201510205,AWAY,44,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Alfred Blue,28,22,88,0,CAR,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14620937,16189,Grass,RB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,4,4,4,100,1,5,4,0,6,1.2,0,0,0,0,,2015,1,A.Blue,0,0,0,0,23,0,24,0,Bank of America Stadium,1,0,0,HOU,91,0,0,0,0,0,,2,6,16,04528655-51f9-4a1f-91e3-ec4e4637d176
1,0,0,0,0,6.9,0,61,0,3000,0,0,0,,,6.9,6.9,6.9,6.9,6.9,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-27T13:00:00,201510334,HOME,82,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Jalston Fowler,45,19,82,1,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14650106,16869,Grass,RB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,9,2.4,0,0,0,0,[object Object],2015,1,J.Fowler,0,0,0,0,22,0,24,0,LP Field,0,0,0,TEN,79,1,0,0,0,0,,3,3,10,00b738ac-1309-4b14-93b2-77d8cc4cea33
1,0,0,0,0,28.1,0,78,0,6400,0,0,0,7500,7500,22.1,28.1,25.1,28.1,25.1,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-08T20:30:00,201510909,AWAY,38,0,0,0,true,0,0,0,0,0,0,0,0,0,0,DeMarco Murray,29,41,73,1,DAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14923813,13124,Dome,RB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,7,0,78,13,11.1,85.7,6,16,20,0,74,4.1,0,0,0,0,[object Object],2015,1,D.Murray,0,0,0,0,0,0,28,0,AT&T Stadium,1,0,0,PHI,53,0,0,0,0,0,,9,4,28,032c161f-c542-43e4-a9cc-b825b0fc7384
1,0,0,0,0,-0.1,0,79,0,3600,0,0,0,5300,5300,-0.1,-0.1,-0.1,-0.1,-0.1,RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-11T20:30:00,201510523,AWAY,67,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Reggie Bush,23,3,68,0,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14738689,4640,Artificial,RB,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,0,,2015,1,R.Bush,0,0,0,0,0,0,24,0,MetLife Stadium,0,0,0,SF,70,0,0,0,0,0,,5,4,15,081e6ae9-10b2-4253-bd69-d846ebac8e54
