Activated,AssistedTackles,BlockedKickReturnTouchdowns,BlockedKickReturnYards,BlockedKicks,CustomD365FantasyPoints,DefensiveSnapsPlayed,DefensiveTeamSnaps,DefensiveTouchdowns,DraftKingsSalary,ExtraPointsAttempted,ExtraPointsHadBlocked,ExtraPointsMade,FanDuelSalary,FantasyDataSalary,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FantasyPointsPPR,FantasyPointsYahoo,FantasyPosition,FieldGoalPercentage,FieldGoalReturnTouchdowns,FieldGoalReturnYards,FieldGoalsAttempted,FieldGoalsHadBlocked,FieldGoalsLongestMade,FieldGoalsMade,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FumbleReturnTouchdowns,FumbleReturnYards,Fumbles,FumblesForced,FumblesLost,FumblesOutOfBounds,FumblesOwnRecoveries,FumblesRecovered,GameDate,GameKey,HomeOrAway,Humidity,InterceptionReturnTouchdowns,InterceptionReturnYards,Interceptions,IsGameOver,KickReturnFairCatches,KickReturnLong,KickReturnTouchdowns,KickReturnYards,KickReturnYardsPerAttempt,KickReturns,MiscAssistedTackles,MiscFumblesForced,MiscFumblesRecovered,MiscSoloTackles,Name,Number,OffensiveSnapsPlayed,OffensiveTeamSnaps,OffensiveTouchdowns,Opponent,PassesDefended,PassingAttempts,PassingCompletionPercentage,PassingCompletions,PassingInterceptions,PassingLong,PassingRating,PassingSackYards,PassingSacks,PassingTouchdowns,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,Played,PlayerGameID,PlayerID,PlayingSurface,Position,PositionCategory,PuntAverage,PuntInside20,PuntLong,PuntNetAverage,PuntNetYards,PuntReturnFairCatches,PuntReturnLong,PuntReturnTouchdowns,PuntReturnYards,PuntReturnYardsPerAttempt,PuntReturns,PuntTouchbacks,PuntYards,Punts,PuntsHadBlocked,QuarterbackHits,ReceivingLong,ReceivingTargets,ReceivingTouchdowns,ReceivingYards,ReceivingYardsPerReception,ReceivingYardsPerTarget,ReceptionPercentage,Receptions,RushingAttempts,RushingLong,RushingTouchdowns,RushingYards,RushingYardsPerAttempt,SackYards,Sacks,Safeties,SafetiesAllowed,ScoringDetails,Season,SeasonType,ShortName,SoloTackles,SpecialTeamsAssistedTackles,SpecialTeamsFumblesForced,SpecialTeamsFumblesRecovered,SpecialTeamsSnapsPlayed,SpecialTeamsSoloTackles,SpecialTeamsTeamSnaps,SpecialTeamsTouchdowns,Stadium,Started,Tackles,TacklesForLoss,Team,Temperature,Touchdowns,TwoPointConversionPasses,TwoPointConversionReceptions,TwoPointConversionReturns,TwoPointConversionRuns,VictivSalary,Week,WindSpeed,YahooSalary,id
1,0,0,0,0,1.6,0,79,0,2500,0,0,0,4500,4500,0.6,1.6,1.1,1.6,1.1,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-11T20:30:00,201510523,AWAY,67,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Blake Bell,84,12,68,0,NYG,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14740542,16878,Artificial,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,6,6,6,100,1,0,0,0,0,0,0,0,0,0,,2015,1,B.Bell,0,0,0,0,0,0,24,0,MetLife Stadium,1,0,0,SF,70,0,0,0,0,0,,5,4,10,00dd7445-0ab7-4be2-b013-54858bd2f5fb
1,0,0,0,0,0,0,86,0,2500,0,0,0,4500,4500,0,0,0,0,0,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-02T20:30:00,201510805,HOME,86,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Ed Dickson,84,38,75,0,IND,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14897621,12153,Grass,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,E.Dickson,0,0,0,0,19,1,31,0,Bank of America Stadium,1,1,0,CAR,51,0,0,0,0,0,,8,6,10,053eaf4a-94d5-4ce7-8194-734cebff7c5a
1,0,0,0,0,0,0,66,0,2500,0,0,0,4500,4500,0,0,0,0,0,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-08T13:00:00,201510924,HOME,32,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Kellen Davis,47,33,65,0,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14919273,8142,Artificial,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,K.Davis,0,0,0,1,15,0,24,0,MetLife Stadium,1,0,0,NYJ,50,0,0,0,0,0,,9,8,10,0092b244-91d6-4636-8075-1f1efb0737ee
1,0,0,0,0,4.2,0,65,0,3500,0,0,0,5100,5100,2.2,4.2,3.2,4.2,3.2,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-05T20:30:00,201510430,AWAY,45,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Eric Ebron,85,18,56,0,SEA,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14715170,16451,Artificial,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,3,0,22,11,7.3,66.7,2,0,0,0,0,0,0,0,0,0,,2015,1,E.Ebron,0,0,0,0,0,0,22,0,CenturyLink Field,0,0,0,DET,82,0,0,0,0,0,,4,8,17,076a6a91-4a59-4303-bad4-4866c10d9cae
1,0,0,0,0,0,0,75,0,2500,0,0,0,4500,4500,0,0,0,0,0,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-01T13:00:00,201510828,AWAY,61,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Tyler Kroft,81,5,67,0,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14867328,16846,Grass,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,T.Kroft,0,0,0,0,22,1,22,0,Heinz Field,0,1,0,CIN,53,0,0,0,0,0,,8,9,10,0016b3aa-650b-4cc4-b6a6-1ebc723cd2e5
1,0,0,0,0,9,0,54,0,3100,0,0,0,5000,5000,7,9,8,9,8,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-25T13:00:00,201510711,AWAY,57,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Kyle Rudolph,82,53,75,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14818513,13275,Dome,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2,1,10,5,5,100,2,0,0,0,0,0,0,0,0,0,[object Object],2015,1,K.Rudolph,0,0,0,0,7,0,21,0,Ford Field,1,0,0,MIN,55,0,0,0,0,0,,7,0,15,03bb06ee-18a7-4283-89b6-9459531c47be
1,0,0,0,0,13.8,0,78,0,2900,0,0,0,4700,4700,8.8,13.8,11.3,13.8,11.3,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-27T20:30:00,201510311,AWAY,75,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Owen Daniels,81,58,65,1,DET,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14654597,1810,Dome,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,1,28,5.6,3.1,55.6,5,0,0,0,0,0,0,0,0,0,[object Object],2015,1,O.Daniels,0,0,0,0,5,0,19,0,Ford Field,1,0,0,DEN,73,1,0,0,0,0,,3,0,13,02c9bbfa-e771-441f-a7cd-d9c46950b873
1,0,0,0,0,4.9,0,78,0,4100,0,0,0,4500,4500,2.9,4.9,3.9,4.9,3.9,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-20T13:00:00,201510222,AWAY,64,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Austin Seferian-Jenkins,87,40,66,0,NO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14621067,16608,Dome,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,3,0,29,14.5,9.7,66.7,2,0,0,0,0,0,0,0,0,0,,2015,1,A.Seferian-Jenkins,0,0,0,0,0,0,18,0,Mercedes-Benz Superdome,1,0,0,TB,89,0,0,0,0,0,,2,4,12,001edabe-9754-4b59-bbda-29cdf561f86b
1,0,0,0,0,6.4,0,59,0,2800,0,0,0,4600,4600,2.4,6.4,4.4,6.4,4.4,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-18T16:25:00,201510631,AWAY,71,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Maxx Williams,87,19,77,0,SF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14776672,16816,,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,24,6,6,100,4,0,0,0,0,0,0,0,0,0,,2015,1,M.Williams,0,0,0,0,8,0,25,0,"Levi's Stadium",0,0,0,BAL,81,0,0,0,0,0,,6,8,12,00fe12e3-01bd-4e39-a61a-542009b994c9
1,0,0,0,0,0,0,93,0,2500,0,0,0,4500,4500,0,0,0,0,0,TE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-27T13:00:00,201510313,AWAY,79,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Luke Stocker,88,25,61,0,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14650641,13370,Dome,TE,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,L.Stocker,0,0,0,0,3,0,20,0,Reliant Stadium,0,0,0,TB,83,0,0,0,0,0,,3,4,10,066d3848-fc12-440d-ab57-b31f3d1b98b5
