Activated,AssistedTackles,BlockedKickReturnTouchdowns,BlockedKickReturnYards,BlockedKicks,CustomD365FantasyPoints,DefensiveSnapsPlayed,DefensiveTeamSnaps,DefensiveTouchdowns,DraftKingsSalary,ExtraPointsAttempted,ExtraPointsHadBlocked,ExtraPointsMade,FanDuelSalary,FantasyDataSalary,FantasyPoints,FantasyPointsDraftKings,FantasyPointsFanDuel,FantasyPointsPPR,FantasyPointsYahoo,FantasyPosition,FieldGoalPercentage,FieldGoalReturnTouchdowns,FieldGoalReturnYards,FieldGoalsAttempted,FieldGoalsHadBlocked,FieldGoalsLongestMade,FieldGoalsMade,FieldGoalsMade0to19,FieldGoalsMade20to29,FieldGoalsMade30to39,FieldGoalsMade40to49,FieldGoalsMade50Plus,FumbleReturnTouchdowns,FumbleReturnYards,Fumbles,FumblesForced,FumblesLost,FumblesOutOfBounds,FumblesOwnRecoveries,FumblesRecovered,GameDate,GameKey,HomeOrAway,Humidity,InterceptionReturnTouchdowns,InterceptionReturnYards,Interceptions,IsGameOver,KickReturnFairCatches,KickReturnLong,KickReturnTouchdowns,KickReturnYards,KickReturnYardsPerAttempt,KickReturns,MiscAssistedTackles,MiscFumblesForced,MiscFumblesRecovered,MiscSoloTackles,Name,Number,OffensiveSnapsPlayed,OffensiveTeamSnaps,OffensiveTouchdowns,Opponent,PassesDefended,PassingAttempts,PassingCompletionPercentage,PassingCompletions,PassingInterceptions,PassingLong,PassingRating,PassingSackYards,PassingSacks,PassingTouchdowns,PassingYards,PassingYardsPerAttempt,PassingYardsPerCompletion,Played,PlayerGameID,PlayerID,PlayingSurface,Position,PositionCategory,PuntAverage,PuntInside20,PuntLong,PuntNetAverage,PuntNetYards,PuntReturnFairCatches,PuntReturnLong,PuntReturnTouchdowns,PuntReturnYards,PuntReturnYardsPerAttempt,PuntReturns,PuntTouchbacks,PuntYards,Punts,PuntsHadBlocked,QuarterbackHits,ReceivingLong,ReceivingTargets,ReceivingTouchdowns,ReceivingYards,ReceivingYardsPerReception,ReceivingYardsPerTarget,ReceptionPercentage,Receptions,RushingAttempts,RushingLong,RushingTouchdowns,RushingYards,RushingYardsPerAttempt,SackYards,Sacks,Safeties,SafetiesAllowed,ScoringDetails,Season,SeasonType,ShortName,SoloTackles,SpecialTeamsAssistedTackles,SpecialTeamsFumblesForced,SpecialTeamsFumblesRecovered,SpecialTeamsSnapsPlayed,SpecialTeamsSoloTackles,SpecialTeamsTeamSnaps,SpecialTeamsTouchdowns,Stadium,Started,Tackles,TacklesForLoss,Team,Temperature,Touchdowns,TwoPointConversionPasses,TwoPointConversionReceptions,TwoPointConversionReturns,TwoPointConversionRuns,VictivSalary,Week,WindSpeed,YahooSalary,id
1,0,0,0,0,0,0,66,0,3000,0,0,0,4700,4700,0,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-08T13:00:00,201510924,HOME,32,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Devin Smith,84,2,65,0,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14919552,16798,Artificial,WR,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,D.Smith,0,0,0,0,2,0,24,0,MetLife Stadium,0,0,0,NYJ,50,0,0,0,0,0,,9,8,10,01a4eeba-1a28-4e4c-babc-42014ea8d124
1,0,0,0,0,1.3,0,64,0,3000,0,0,0,4500,4500,0.3,1.3,0.8,1.3,0.8,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-26T20:30:00,201510701,HOME,41,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Jaron Brown,13,7,62,0,BAL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14847099,15509,Dome,WR,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,3,3,3,100,1,0,0,0,0,0,0,0,0,0,,2015,1,J.Brown,0,0,0,0,13,0,21,0,University of Phoenix Stadium,0,0,0,ARI,57,0,0,0,0,0,,7,0,11,014276f6-3e8f-4369-a52f-38e6728d5727
1,0,0,0,0,0,0,77,0,3000,0,0,0,4500,4500,0,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-04T13:00:00,201510402,HOME,55,0,0,0,true,0,32,0,32,29,1,0,0,0,0,Eric Weems,14,12,71,0,HOU,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14687156,3601,Dome,WR,OFF,0,0,0,0,0,1,20,0,32,14.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,E.Weems,0,0,0,0,21,0,27,0,Georgia Dome,0,0,0,ATL,77,0,0,0,0,0,,4,0,10,009c6b24-dc7e-43d5-bbde-fab6bd2281f6
1,0,0,0,0,16.1,0,75,0,3000,0,0,0,4500,4500,11.1,16.1,13.6,16.1,13.6,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-04T13:00:00,201510404,AWAY,73,0,0,0,true,0,0,0,0,0,0,0,0,0,1,Dwayne Harris,17,51,70,1,BUF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14687431,13117,Artificial,WR,OFF,0,0,0,0,0,1,16,0,20,6,3,0,0,0,0,0,21,6,1,51,10.2,8.5,83.3,5,0,0,0,0,0,0,0,0,0,[object Object],2015,1,D.Harris,0,0,0,0,15,0,26,0,Ralph Wilson Stadium,1,0,0,NYG,66,1,0,0,0,0,,4,8,10,01ee6e14-a8cc-498d-871b-387744211829
1,0,0,0,0,0,0,74,0,3000,0,0,0,4700,4700,0,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-27T13:00:00,201510309,HOME,53,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Brice Butler,12,35,54,0,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14650608,15066,Dome,WR,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,B.Butler,0,0,0,0,0,0,24,0,AT&T Stadium,0,0,0,DAL,75,0,0,0,0,0,,3,0,10,06547a62-56e4-4896-8352-639b0800c8f3
1,0,0,0,0,0,0,77,0,3000,0,0,0,5000,5000,0,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-09-13T13:00:00,201510106,AWAY,39,0,0,0,true,0,46,0,106,35.3,3,0,0,0,0,Ty Montgomery,88,1,60,0,CHI,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14454758,16855,Grass,WR,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,T.Montgomery,0,0,0,0,5,0,21,0,Soldier Field,0,0,0,GB,68,0,0,0,0,0,,1,11,11,0001b5c7-3fe5-4e8c-81ca-d247deb621b3
1,0,0,0,0,0,0,66,0,3000,0,0,0,,,0,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-15T13:00:00,201511028,AWAY,29,0,0,0,true,0,24,0,44,24,1,0,0,0,0,Marlon Moore,15,11,69,0,PIT,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14961132,10961,Grass,WR,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,M.Moore,0,0,0,0,15,0,21,0,Heinz Field,0,0,0,CLE,56,0,0,0,0,0,,10,11,10,007f96e4-ea10-4ad8-bd08-51599e17e066
1,0,0,0,0,0,0,80,0,3000,0,0,0,4700,4700,0,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-11T13:00:00,201510502,AWAY,57,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Andre Roberts,12,9,61,0,ATL,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14734624,11565,Dome,WR,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,A.Roberts,0,0,0,0,0,0,17,0,Georgia Dome,0,0,0,WAS,80,0,0,0,0,0,,5,0,10,055648e2-abff-4e99-b803-5a0d19742844
1,0,0,0,0,0,0,59,0,3000,0,0,0,5000,5000,0,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-10-11T13:00:00,201510533,HOME,63,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Louis Murphy,18,25,67,0,JAX,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14734503,8777,Grass,WR,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,2015,1,L.Murphy,0,0,0,0,1,0,21,0,Raymond James Stadium,0,0,0,TB,96,0,0,0,0,0,,5,10,10,0217f774-7415-4475-ac5a-872cf3a1e37e
1,0,0,0,0,2.4,0,62,0,3000,0,0,0,4900,4900,1.4,2.4,1.9,2.4,1.9,WR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015-11-15T13:00:00,201511035,AWAY,27,0,0,0,true,0,0,0,0,0,0,0,0,0,0,Brandon Coleman,16,1,57,0,WAS,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14960988,16567,Grass,WR,OFF,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0,14,14,14,100,1,0,0,0,0,0,0,0,0,0,,2015,1,B.Coleman,0,0,0,0,12,0,27,0,FedEx Field,0,0,0,NO,56,0,0,0,0,0,,10,4,10,049aefb1-418e-4d2e-a7fe-33a7718cb0d0
